light,ax,ay,az,gx,gy,gz,label
99,0.1207,0.0638,1.0686,12.0239,9.2773,39.2456,shaky
98,0.2191,0.0802,0.9956,2.4414,-6.1646,-4.8828,shaky
99,0.2303,0.0179,0.9648,0.1221,13.916,-17.8223,shaky
100,0.0815,0.0061,1.0787,-0.4272,-2.2583,-4.2114,shaky
98,0.0762,0.0773,1.0657,0.7324,11.9019,-8.606,shaky
100,0.1538,-0.1466,1.0018,3.6621,18.1885,-3.7231,shaky
97,0.2853,0.0377,0.9327,1.4648,-10.9253,-22.3389,shaky
98,0.2434,-0.0159,0.9597,-2.3804,2.0142,-2.8687,shaky
96,0.1927,-0.0282,0.9987,-0.1831,-2.8076,12.5732,shaky
97,0.1616,0.01,1.0171,2.0752,26.2451,34.79,shaky
99,0.1973,0.0198,0.9967,9.4604,1.8311,-11.4136,shaky
95,0.3074,-0.0316,0.9303,-4.6997,6.4697,-12.146,shaky
94,0.3713,-0.0001,0.9106,0.4883,-6.6528,-0.6104,shaky
96,0.186,0.025,0.9866,-5.127,-54.8706,-3.479,shaky
99,0.1895,0.0117,0.9924,0.4883,-11.0474,3.7231,shaky
101,0.1213,-0.0317,1.024,3.2349,-0.7935,49.1943,shaky
99,0.1416,0.0208,1.0209,3.7842,-0.1221,-6.4697,shaky
101,0.1853,-0.0529,1.0057,-11.6577,10.1318,5.3101,shaky
98,0.3102,0.0178,0.9335,-4.6387,7.3242,-7.3242,shaky
97,0.2175,0.0332,1.0148,-5.4932,-5.127,-11.9629,shaky
96,0.3362,0.0349,0.9482,-6.897,37.6587,12.207,shaky
96,0.3534,0.0555,0.8868,9.3384,-24.9634,0.7324,shaky
99,0.1478,-0.0287,1.0115,-2.8687,-10.0708,4.0283,shaky
101,0.2247,0.0052,0.944,6.1646,-17.8833,8.728,shaky
103,0.1632,0.0345,0.9893,-1.9531,11.4136,26.6113,shaky
105,0.0945,-0.0522,1.0735,3.8452,28.9307,-18.1274,shaky
107,0.3878,-0.082,0.9059,-1.709,39.3677,-8.4839,shaky
108,0.3759,-0.0214,0.9231,11.0474,-23.0103,25.3906,shaky
105,0.2766,-0.0322,0.9712,-10.5591,11.3525,15.7471,shaky
102,0.2139,0.017,0.9619,-2.0142,-34.668,-23.2544,shaky
106,0.274,-0.0613,0.9132,2.7466,6.7749,-8.1177,shaky
106,0.0747,0.1022,1.0801,1.5869,3.1128,21.2402,shaky
105,0.1213,0.031,1.0283,2.3193,22.3999,-9.0332,shaky
97,0.446,-0.0404,0.8054,-17.334,82.5195,-41.1377,shaky
100,0.2672,-0.0227,0.9778,-5.3101,-73.3643,-10.437,shaky
103,0.219,0.0011,0.9581,2.3193,-23.3154,43.2129,shaky
104,0.0569,0.0399,1.0513,3.6011,0.7935,25.9399,shaky
106,0.191,0.0818,0.9618,3.1738,-3.418,-28.4424,shaky
104,0.1478,-0.0636,1.0281,-1.1597,-4.9438,1.709,shaky
101,-0.0096,0.0641,1.0754,3.7231,-17.5781,21.1792,shaky
102,0.167,0.0459,0.9832,1.4648,-0.9155,-15.7471,shaky
103,0.2732,-0.1102,0.9286,8.1177,9.0942,-18.3716,shaky
103,0.2273,-0.0342,0.9563,0.1831,-27.3437,8.3618,shaky
103,0.0892,0.0425,1.0514,4.5166,-3.0518,51.2085,shaky
103,0.0211,0.0624,1.0797,4.2114,-8.1177,5.249,shaky
104,0.2002,-0.0837,0.948,0.7324,23.3154,-17.0898,shaky
103,0.2637,-0.0449,0.9626,-3.7231,26.7944,-15.7471,shaky
103,0.2727,-0.0615,0.9769,1.9531,8.2397,8.0566,shaky
103,0.3225,-0.0997,0.9055,11.1084,-47.2412,31.4331,shaky
101,0.1801,-0.0028,1.0059,1.709,-5.7983,2.5024,shaky
101,0.1079,-0.0027,1.0222,-0.7324,2.6855,3.1128,shaky
102,0.1096,-0.0271,1.0166,-0.6104,28.1982,-26.6113,shaky
102,0.2086,-0.3004,0.9723,-26.2451,-27.5269,52.9785,shaky
102,0.15,0.0538,1.0089,-2.1362,24.6582,25.5737,shaky
