light,ax,ay,az,gx,gy,gz,label
4097,-0.25,-0.0101,0.9729,-0.2441,0.1831,-0.061,brightlight
4097,-0.2504,-0.0082,0.9745,-0.2441,0.3052,-0.1831,brightlight
4097,-0.2482,-0.0135,0.9749,-0.2441,0.1831,-0.7324,brightlight
4097,-0.2511,-0.0098,0.9733,-0.2441,-0.061,-0.3052,brightlight
4097,-0.2487,-0.015,0.975,-0.2441,0.4272,-0.4883,brightlight
4097,-0.2479,-0.015,0.9755,-0.2441,0.5493,-0.3052,brightlight
4097,-0.2462,-0.012,0.9757,-0.3052,0.061,-0.1221,brightlight
4097,-0.2476,-0.0109,0.9712,-0.2441,0.7324,-0.4883,brightlight
4097,-0.2476,-0.0118,0.9731,-0.3052,0.2441,-0.3662,brightlight
4097,-0.2462,-0.0103,0.9774,-0.3662,0.1221,-0.1221,brightlight
4097,-0.2466,-0.011,0.9762,-0.3662,0.1831,-0.2441,brightlight
4097,-0.2465,-0.0109,0.9758,-0.1831,-0.1831,-0.4883,brightlight
4097,-0.2458,-0.0115,0.9741,-0.3052,-0.061,-0.3662,brightlight
4097,-0.2454,-0.0133,0.9779,-0.2441,0,-0.061,brightlight
4097,-0.2457,-0.0127,0.9738,-0.2441,0.061,0.1221,brightlight
4097,-0.2471,-0.0093,0.9739,-0.1831,0.1221,-0.6104,brightlight
4097,-0.2461,-0.0125,0.9734,-0.2441,0.2441,-0.4883,brightlight
4097,-0.2443,-0.0118,0.9753,-0.2441,0.3662,-0.2441,brightlight
4097,-0.245,-0.0126,0.9763,-0.1831,0.5493,-0.1221,brightlight
4097,-0.2463,-0.0143,0.974,-0.1221,0.3052,-0.7935,brightlight
4097,-0.2433,-0.0133,0.9752,-0.2441,0.1831,-0.1221,brightlight
4097,-0.2439,-0.0101,0.9755,-0.4272,-0.061,0.4272,brightlight
4097,-0.2454,-0.0096,0.9725,-0.3662,0.1831,0,brightlight
4097,-0.2463,-0.0127,0.9724,-0.2441,-0.3052,-0.3052,brightlight
4097,-0.2452,-0.0105,0.9753,-0.2441,0.1221,-0.061,brightlight
4097,-0.2451,-0.011,0.9752,-0.3052,0.3052,-0.1831,brightlight
4097,-0.2451,-0.0133,0.9745,-0.3662,0.1831,0.061,brightlight
4097,-0.2452,-0.011,0.9768,-0.2441,0.3662,-0.2441,brightlight
4097,-0.2463,-0.0095,0.9741,-0.2441,0,-0.4883,brightlight
4097,-0.2468,-0.0139,0.9756,-0.1221,-0.1831,-1.1597,brightlight
4097,-0.2471,-0.0118,0.9731,-0.2441,0.1831,-0.4272,brightlight
4097,-0.2462,-0.0123,0.9763,-0.1831,-0.1221,-0.1831,brightlight
4097,-0.2457,-0.0128,0.9744,-0.1221,0.2441,-0.6104,brightlight
4097,-0.2448,-0.0115,0.9749,-0.3052,0.061,0.061,brightlight
4097,-0.2461,-0.0085,0.9736,-0.2441,0.1221,-0.061,brightlight
4097,-0.2466,-0.011,0.9739,-0.2441,0.2441,-0.1221,brightlight
4097,-0.2458,-0.0099,0.974,-0.2441,0.3052,0,brightlight
4097,-0.2458,-0.0134,0.9747,-0.2441,0.1831,-0.5493,brightlight
4097,-0.2461,-0.0131,0.9766,-0.2441,0,0.1831,brightlight
4097,-0.2476,-0.0182,0.9758,-0.3052,0.4272,-0.1221,brightlight
4097,-0.2458,-0.0114,0.9752,-0.1831,0.061,-0.6714,brightlight
4097,-0.2454,-0.0126,0.974,-0.3052,0.061,-0.061,brightlight
4097,-0.2466,-0.0122,0.9735,-0.1831,-0.061,-0.6104,brightlight
4097,-0.2465,-0.0131,0.9756,-0.2441,0.1831,0.1221,brightlight
4097,-0.2455,-0.0153,0.9744,-0.3052,0,-0.2441,brightlight
4097,-0.2455,-0.0135,0.9761,-0.2441,0.1831,0,brightlight
4097,-0.2467,-0.0127,0.9741,-0.2441,0.2441,-0.3662,brightlight
4097,-0.2465,-0.0132,0.9731,-0.3052,0.061,0.061,brightlight
4097,-0.246,-0.0105,0.9741,-0.3052,0,-0.1831,brightlight
4097,-0.2451,-0.011,0.9753,-0.1831,0.061,-0.2441,brightlight
4097,-0.2465,-0.0094,0.9758,-0.2441,0.1831,-0.4883,brightlight
4097,-0.2455,-0.011,0.975,-0.2441,0.061,-0.2441,brightlight
4097,-0.2455,-0.0118,0.975,-0.3052,0,-0.2441,brightlight
4097,-0.2469,-0.0107,0.9752,-0.2441,0.061,-0.061,brightlight
4097,-0.2471,-0.0103,0.9742,-0.1831,0.3662,-0.5493,brightlight
4097,-0.2466,-0.0092,0.9763,-0.2441,0.2441,-0.2441,brightlight
4097,-0.246,-0.0114,0.9752,-0.3662,0.3052,0.061,brightlight
4097,-0.2458,-0.0111,0.9755,-0.3052,0,0.1221,brightlight
4097,-0.246,-0.0085,0.9762,-0.1221,0.1831,-0.7935,brightlight
4097,-0.2467,-0.0118,0.974,-0.1831,0.2441,-0.3662,brightlight
4097,-0.2476,-0.0083,0.9745,-0.2441,0.2441,-0.5493,brightlight
4097,-0.2473,-0.0116,0.9728,-0.3052,0.1831,-0.1831,brightlight
4097,-0.2457,-0.0096,0.9744,-0.3052,0.1221,0.061,brightlight
4097,-0.2471,-0.0098,0.9746,-0.2441,0.2441,0.061,brightlight
4097,-0.2482,-0.0093,0.9725,-0.2441,0,-0.061,brightlight
4097,-0.2456,-0.0112,0.9742,-0.3052,0.1221,-0.1831,brightlight
4097,-0.2465,-0.01,0.9768,-0.2441,0.1221,-0.1221,brightlight
4097,-0.2472,-0.0137,0.974,-0.2441,0.4272,-0.4272,brightlight
4097,-0.246,-0.0132,0.9749,-0.2441,0.3052,-0.4272,brightlight
4097,-0.2466,-0.0099,0.9755,-0.3052,0.061,0.3052,brightlight
4097,-0.2458,-0.0118,0.9762,-0.2441,0.061,-0.3662,brightlight
4097,-0.2468,-0.0101,0.9728,-0.3052,0,-0.1831,brightlight
4097,-0.2463,-0.0116,0.9773,-0.3052,0.061,-0.1831,brightlight
4097,-0.2466,-0.01,0.9734,-0.2441,0.1221,-0.3662,brightlight
4097,-0.2469,-0.0132,0.9714,-0.1831,0.3052,-0.7324,brightlight
4097,-0.2457,-0.0117,0.9747,-0.2441,0.3662,-0.2441,brightlight
4097,-0.2458,-0.0115,0.9744,-0.3052,0,0.1831,brightlight
4097,-0.2445,-0.0112,0.9746,-0.1831,0.2441,-0.2441,brightlight
4097,-0.2454,-0.0121,0.9745,-0.3052,0.2441,-0.1831,brightlight
4097,-0.2461,-0.0125,0.9728,-0.3662,0.061,0.1221,brightlight
4097,-0.238,-0.0089,0.9733,-0.4883,-0.6104,-0.061,brightlight
4097,-0.2466,-0.0125,0.976,-0.3052,-0.1831,-0.1221,brightlight
4097,-0.2452,-0.0126,0.9757,-0.3052,0.4883,-0.3662,brightlight
4097,-0.2466,-0.0099,0.9729,-0.1831,0.5493,-0.061,brightlight
4097,-0.2466,-0.0121,0.9761,-0.2441,-0.061,-0.6104,brightlight
4097,-0.2462,-0.0116,0.9753,-0.3052,0.3052,0.1221,brightlight
4097,-0.2468,-0.0104,0.9745,-0.2441,0.2441,-0.3052,brightlight
4097,-0.2465,-0.0066,0.9719,-0.7935,0.7324,2.0752,brightlight
4097,-0.245,-0.0144,0.9751,-0.3662,0.1831,-0.1221,brightlight
4097,-0.2468,-0.0088,0.9742,-0.1831,0.1221,-0.5493,brightlight
4097,-0.2457,-0.0083,0.9764,-0.1221,0.1831,-0.9766,brightlight
