light,ax,ay,az,gx,gy,gz,label
0,-0.8297,0.0856,0.5325,-0.3052,0.1221,-0.3052,lowlight
0,-0.8307,0.0868,0.5322,0.061,-0.3662,0,lowlight
0,-0.8312,0.0864,0.5323,-0.4883,0.5493,-0.6104,lowlight
0,-0.8296,0.0865,0.5333,-0.1221,-0.3662,-0.1831,lowlight
0,-0.8344,0.0789,0.5277,0.3662,-0.7935,0.3662,lowlight
0,-0.8345,0.0813,0.5293,-0.7324,0.7935,-1.2207,lowlight
0,-0.8284,0.0918,0.5364,0,0.1221,0,lowlight
0,-0.833,0.0897,0.5299,-0.6104,1.2207,-1.709,lowlight
0,-0.8284,0.0961,0.5383,1.0376,-3.1128,2.8076,lowlight
0,-0.8394,0.0704,0.5222,-1.2817,1.2817,-1.9531,lowlight
0,-0.8287,0.0928,0.5341,-2.9907,2.4414,-3.0518,lowlight
0,-0.8302,0.1036,0.533,-0.1221,-0.6714,0.6714,lowlight
0,-0.8347,0.0887,0.5277,-0.9766,1.1597,-0.5493,lowlight
0,-0.8331,0.0873,0.5276,-0.4883,-0.1831,-0.2441,lowlight
0,-0.8312,0.0956,0.5175,-9.7656,2.3193,-3.6621,lowlight
0,-0.8298,0.101,0.5286,2.5635,-4.3945,3.6621,lowlight
0,-0.8313,0.0945,0.53,-0.4883,1.0986,-0.6104,lowlight
0,-0.8333,0.0897,0.5291,-0.1221,-0.3052,0.061,lowlight
0,-0.8313,0.0889,0.5295,-0.1221,0.1221,0.061,lowlight
0,-0.8336,0.0892,0.5289,0.1221,-0.4272,0.4883,lowlight
0,-0.8324,0.0868,0.5284,-0.1221,0.1831,-0.1221,lowlight
0,-0.8325,0.0867,0.5283,0.061,-0.2441,0.1221,lowlight
0,-0.8348,0.0813,0.5262,-0.2441,0.1831,-0.1831,lowlight
0,-0.8354,0.0829,0.5266,-0.2441,0.061,-0.2441,lowlight
0,-0.8337,0.0834,0.5276,-0.1831,0.1221,-0.1221,lowlight
0,-0.8354,0.0834,0.528,-0.3052,0.1831,-0.2441,lowlight
0,-0.8353,0.0808,0.5258,-0.1831,-0.061,-0.1831,lowlight
0,-0.8353,0.0835,0.5259,-0.3052,0.3662,-0.1221,lowlight
0,-0.8335,0.0847,0.5271,-0.1221,0.061,0.061,lowlight
0,-0.8333,0.0856,0.5276,-0.1831,0.1831,0.1831,lowlight
0,-0.834,0.0845,0.5254,-0.3052,0.3662,-0.3052,lowlight
0,-0.8339,0.0831,0.5264,-0.1221,0.061,-0.1221,lowlight
0,-0.835,0.0815,0.5265,-0.4272,0.1221,-0.6714,lowlight
0,-0.8354,0.0839,0.5264,-0.5493,0.3662,-0.6104,lowlight
0,-0.8333,0.0835,0.5291,0,0,0.2441,lowlight
0,-0.8345,0.0841,0.5271,-0.1221,0,-0.061,lowlight
0,-0.8339,0.0835,0.5273,-0.1831,0.1221,-0.1221,lowlight
0,-0.8342,0.085,0.5277,-0.1831,0.061,-0.2441,lowlight
0,-0.8351,0.0858,0.5265,-0.3052,0.1221,-0.1221,lowlight
0,-0.8339,0.0845,0.5287,-0.2441,0.1221,-0.1831,lowlight
